Cluster Labels,Coffee Shop,Mexican Restaurant,Friterie,Bakery,Hotel,Pizza Place,Cheese Shop,Italian Restaurant,Wine Bar,Indian Restaurant,Thai Restaurant,Bar,Burrito Place,Cocktail Bar,Bistro,Restaurant,Frozen Yogurt Shop,Ice Cream Shop,Burger Joint,Dessert Shop,Vegetarian / Vegan Restaurant,French Restaurant,Brasserie,Beer Bar,Sushi Restaurant,Poke Place,Soup Place,Sandwich Place,Tapas Restaurant,Gourmet Shop,Tea Room,Organic Grocery,Chocolate Shop,Chinese Restaurant,Gastropub,Noodle House,Pie Shop,BBQ Joint,Greek Restaurant,Steakhouse,Supermarket,Belgian Restaurant,College Cafeteria,Farmers Market,Fast Food Restaurant,Food Court,Brewery,Middle Eastern Restaurant,Sports Bar,Kebab Restaurant,Café,Market,Doner Restaurant,Convenience Store,Liquor Store,Club House,Fruit & Vegetable Store,Total Customer Sum
0,10.0,2.0,3.0,2.0,1.0,2.0,1.0,7.0,1.0,2.0,1.0,14.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
2,3.0,0.0,6.0,7.0,4.0,2.0,0.0,2.0,0.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,57.0
1,0.0,0.0,1.0,1.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,2.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,2.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,16.666666666666664
