,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Distance,Venue Summary,Venue Category
44,Leuven,50.8812533,4.6929903215189,Burger Folie,50.87839125652396,4.701125139588336,654,This spot is popular,Burger Joint
45,Leuven,50.8812533,4.6929903215189,The Grasshopper,50.88061893211224,4.70024155035984,514,This spot is popular,Toy / Game Store
46,Leuven,50.8812533,4.6929903215189,Leo Pancakes,50.88109657541555,4.699501490407818,457,This spot is popular,Dessert Shop
47,Leuven,50.8812533,4.6929903215189,Greenway,50.87902071301904,4.699470415852699,518,This spot is popular,Vegetarian / Vegan Restaurant
48,Leuven,50.8812533,4.6929903215189,Bar Rustic,50.87856541264153,4.699790638055289,563,This spot is popular,Bar
49,Leuven,50.8812533,4.6929903215189,Noir Koffiebar,50.87665348704251,4.70053027413579,736,This spot is popular,Coffee Shop
50,Leuven,50.8812533,4.6929903215189,Origins,50.87868317371806,4.700034108377228,571,This spot is popular,Cocktail Bar
51,Leuven,50.8812533,4.6929903215189,Le chameau s’en fout,50.88028148554073,4.699628358888798,478,This spot is popular,French Restaurant
52,Leuven,50.8812533,4.6929903215189,Plaza,50.87844127970252,4.699714916276115,566,This spot is popular,Bar
53,Leuven,50.8812533,4.6929903215189,De Werf,50.877065572360074,4.701641465769555,765,This spot is popular,Brasserie
54,Leuven,50.8812533,4.6929903215189,Leuven Central,50.88013199092812,4.700955525746604,573,This spot is popular,Bar
55,Leuven,50.8812533,4.6929903215189,Past à Porter,50.87910460848946,4.699557073445507,519,This spot is popular,Italian Restaurant
56,Leuven,50.8812533,4.6929903215189,De Fiere Margriet,50.87964534372651,4.701659563889309,634,This spot is popular,Beer Bar
57,Leuven,50.8812533,4.6929903215189,Ambiorix,50.87862193202486,4.699961081787346,570,This spot is popular,Bar
58,Leuven,50.8812533,4.6929903215189,HIPPO GOLD,50.878064227706176,4.69869997331363,535,This spot is popular,Boutique
59,Leuven,50.8812533,4.6929903215189,Café AperO,50.878583210516936,4.6998541146945785,566,This spot is popular,Bar
60,Leuven,50.8812533,4.6929903215189,Het Grotteke,50.875973616853486,4.688748442640337,658,This spot is popular,Friterie
61,Leuven,50.8812533,4.6929903215189,Het Moorinneken,50.879126337963704,4.700826346391758,599,This spot is popular,Restaurant
62,Leuven,50.8812533,4.6929903215189,Sakura Sushi & Sashimi,50.87813201894124,4.70301538832139,785,This spot is popular,Sushi Restaurant
63,Leuven,50.8812533,4.6929903215189,Café Allee,50.87809957314092,4.6993830054542975,569,This spot is popular,Bar
64,Leuven,50.8812533,4.6929903215189,Santé Magic,50.884523809598335,4.700917037621697,665,This spot is popular,Spa
65,Leuven,50.8812533,4.6929903215189,Loving Hut Leuven,50.8791,4.70312,750,This spot is popular,Vegetarian / Vegan Restaurant
66,Leuven,50.8812533,4.6929903215189,Sticks & Bowls,50.87674454052405,4.7005880094438925,732,This spot is popular,Poke Place
67,Leuven,50.8812533,4.6929903215189,Baracca,50.87803007265698,4.703518826621156,821,This spot is popular,Italian Restaurant
68,Leuven,50.8812533,4.6929903215189,Soup Away,50.878012296509624,4.703607212413749,828,This spot is popular,Soup Place
69,Leuven,50.8812533,4.6929903215189,Lunchroom De Pandora,50.884175020257075,4.698247176938472,492,This spot is popular,Sandwich Place
70,Leuven,50.8812533,4.6929903215189,Kalypta,50.87898336319401,4.699531821944921,524,This spot is popular,Tapas Restaurant
71,Leuven,50.8812533,4.6929903215189,PepeNero,50.878126722140024,4.702944109725169,780,This spot is popular,Italian Restaurant
72,Leuven,50.8812533,4.6929903215189,'t Archief,50.87826930594217,4.700330795499696,613,This spot is popular,Bar
73,Leuven,50.8812533,4.6929903215189,Oil & Vinegar,50.87955214766366,4.699425462923411,490,This spot is popular,Gourmet Shop
74,Leuven,50.8812533,4.6929903215189,'t Galetje,50.87785337238508,4.703715592665031,843,This spot is popular,Ice Cream Shop
75,Leuven,50.8812533,4.6929903215189,Gigi by Zoff,50.880804676987644,4.699675440788269,472,This spot is popular,Gourmet Shop
76,Leuven,50.8812533,4.6929903215189,Julia & Elias,50.88095523056042,4.700343785304691,517,This spot is popular,Restaurant
77,Leuven,50.8812533,4.6929903215189,Wabi Sabi Sushi Bar,50.87832851505984,4.701514849191396,681,This spot is popular,Sushi Restaurant
78,Leuven,50.8812533,4.6929903215189,De Blauwe Kater,50.88145069740427,4.699509079483803,458,This spot is popular,Bar
79,Leuven,50.8812533,4.6929903215189,fourTEAfour,50.880944086520834,4.6994925553903615,457,This spot is popular,Tea Room
80,Leuven,50.8812533,4.6929903215189,Origin'o,50.88145340997729,4.699476223778696,456,This spot is popular,Organic Grocery
81,Leuven,50.8812533,4.6929903215189,Pastabar L'Inizio,50.87843007989894,4.69904304755601,528,This spot is popular,Italian Restaurant
82,Leuven,50.8812533,4.6929903215189,Sluispark,50.886814,4.700039,792,This spot is popular,Park
83,Leuven,50.8812533,4.6929903215189,Quetzal - De Chocoladebar,50.87731821455604,4.7034957590745865,858,This spot is popular,Chocolate Shop
84,Leuven,50.8812533,4.6929903215189,Den Delper,50.878477800839484,4.699210496959849,535,This spot is popular,Bar
85,Leuven,50.8812533,4.6929903215189,Punto Caffè,50.87949180960404,4.70393844629828,793,This spot is popular,Coffee Shop
86,Leuven,50.8812533,4.6929903215189,Masalatop,50.87798640123633,4.702509686276015,761,This spot is popular,Indian Restaurant
87,Leuven,50.8812533,4.6929903215189,JIMS Fitness,50.8743333832423,4.689739481280275,803,This spot is popular,Gym / Fitness Center
88,Leuven,50.8812533,4.6929903215189,De Blauwe Schuit,50.88225733236267,4.700115921551784,512,This spot is popular,Gastropub
89,Leuven,50.8812533,4.6929903215189,Mont Café,50.877485985167134,4.704131383446951,887,This spot is popular,Coffee Shop
90,Leuven,50.8812533,4.6929903215189,La Cucaracha,50.87816630716766,4.703544735241457,817,This spot is popular,Mexican Restaurant
91,Leuven,50.8812533,4.6929903215189,Ristorante Rossi,50.87749785994187,4.700843163986308,692,This spot is popular,Italian Restaurant
92,Leuven,50.8812533,4.6929903215189,Xiang Xiang,50.875785951863975,4.690759195347759,628,This spot is popular,Chinese Restaurant
93,Leuven,50.8812533,4.6929903215189,Madmum Coffee Roasters,50.87791883279895,4.703571945710826,830,This spot is popular,Coffee Shop
94,Leuven,50.8812533,4.6929903215189,Sint-Donatuspark,50.87555452404089,4.702659051255485,929,This spot is popular,Park
95,Leuven,50.8812533,4.6929903215189,Les Tartes de Françoise,50.880697823882755,4.6999625685413555,493,This spot is popular,Pie Shop
96,Leuven,50.8812533,4.6929903215189,XL Noodles,50.87709500422844,4.703773856163025,887,This spot is popular,Noodle House
97,Leuven,50.8812533,4.6929903215189,Bardot,50.877937362005,4.699410679819567,582,This spot is popular,Bar
98,Leuven,50.8812533,4.6929903215189,Libertad,50.878131214738346,4.702676878432935,763,This spot is popular,Bar
99,Leuven,50.8812533,4.6929903215189,Resto Ribs,50.87867671092692,4.69918532800575,521,This spot is popular,BBQ Joint
100, Heverlee,50.85172925,4.693130751028099,Heverleebos,50.84563448253736,4.695402673549807,696,This spot is popular,Forest
101, Heverlee,50.85172925,4.693130751028099,Hill Fit,50.85555647208495,4.703369575184337,836,This spot is popular,Gym / Fitness Center
102, Heverlee,50.85172925,4.693130751028099,Zorba,50.861071686086255,4.6861566319407935,1149,This spot is popular,Greek Restaurant
103, Heverlee,50.85172925,4.693130751028099,Bistec,50.85972766876835,4.699192699771218,987,This spot is popular,Steakhouse
104, Heverlee,50.85172925,4.693130751028099,ViaVia Joker Reiscafé,50.86187732854236,4.6960415738599215,1148,This spot is popular,Bar
105, Heverlee,50.85172925,4.693130751028099,Kasteelpark Arenberg,50.86213360778144,4.684691568131673,1301,This spot is popular,Park
106, Heverlee,50.85172925,4.693130751028099,SPAR,50.855963102132435,4.694918936345788,487,This spot is popular,Supermarket
107, Heverlee,50.85172925,4.693130751028099,Wok Dynasty,50.862949700317884,4.695159079138187,1257,This spot is popular,Chinese Restaurant
108, Heverlee,50.85172925,4.693130751028099,Fitness Center Heverlee,50.86105363259757,4.696589524912567,1066,This spot is popular,Gym / Fitness Center
109, Heverlee,50.85172925,4.693130751028099,Kasteel van Arenberg,50.86322489596317,4.683379611127972,1451,This spot is popular,Castle
110, Heverlee,50.85172925,4.693130751028099,Bakkerij Het Brood,50.86175968831297,4.695818361905053,1132,This spot is popular,Bakery
111, Heverlee,50.85172925,4.693130751028099,Voltaire,50.863361645058255,4.691127092895999,1302,This spot is popular,Belgian Restaurant
112, Heverlee,50.85172925,4.693130751028099,IJsbaan Leuven,50.85356196524568,4.713899086767452,1473,This spot is popular,Skating Rink
113, Heverlee,50.85172925,4.693130751028099,Stefnick,50.858542265816304,4.69583272911931,781,This spot is popular,Sandwich Place
114, Heverlee,50.85172925,4.693130751028099,Apotheek Kerre,50.86407775007185,4.695908519390216,1388,This spot is popular,Pharmacy
115, Heverlee,50.85172925,4.693130751028099,Frituur Paula,50.8626543545333,4.695713231302351,1229,This spot is popular,Friterie
116, Heverlee,50.85172925,4.693130751028099,Theokot,50.861223775487936,4.68377280451038,1244,This spot is popular,College Cafeteria
117, Heverlee,50.85172925,4.693130751028099,Bakkerij Sint-Lambertus,50.86420045102725,4.693813871148352,1389,This spot is popular,Bakery
118, Heverlee,50.85172925,4.693130751028099,De Baarr,50.86443596878936,4.686561043314246,1487,This spot is popular,Bar
119, Heverlee,50.85172925,4.693130751028099,Siam - Thai Restaurant,50.86213728197848,4.695973824613564,1175,This spot is popular,Thai Restaurant
120, Heverlee,50.85172925,4.693130751028099,Pakenhof,50.86098568895475,4.707262991046257,1431,This spot is popular,Gastropub
121, Heverlee,50.85172925,4.693130751028099,Zondagsmarkt,50.86366600552087,4.695471357275138,1338,This spot is popular,Farmers Market
122, Heverlee,50.85172925,4.693130751028099,KARMA Feel Good Store,50.86382180944599,4.6960108994212,1361,This spot is popular,Gift Shop
123, Heverlee,50.85172925,4.693130751028099,La Piccola Pergola,50.858875745401605,4.695936213189403,819,This spot is popular,Italian Restaurant
124, Heverlee,50.85172925,4.693130751028099,Lodewijk Engelbertus Van Arenbergplein,50.86315463381068,4.695453139221959,1282,This spot is popular,Plaza
125, Heverlee,50.85172925,4.693130751028099,Brasserie 500,50.84709378591049,4.695265225601464,537,This spot is popular,Brasserie
126, Heverlee,50.85172925,4.693130751028099,Nemrut,50.86072165836426,4.697857880281354,1054,This spot is popular,Fast Food Restaurant
127, Heverlee,50.85172925,4.693130751028099,KHCLeuven Chomé,50.856231094341986,4.70706813366178,1100,This spot is popular,Hockey Field
128, Heverlee,50.85172925,4.693130751028099,Sint-Lambertusplein,50.86440535705346,4.693581527118217,1411,This spot is popular,Park
129, Heverlee,50.85172925,4.693130751028099,Gnorgl,50.8641427623804,4.6936881867399425,1382,This spot is popular,Bar
130, Heverlee,50.85172925,4.693130751028099,Nat King Cole,50.86234588064487,4.695981782796529,1198,This spot is popular,Restaurant
131, Heverlee,50.85172925,4.693130751028099,De Oude Kantien,50.8610844502471,4.685770472079728,1162,This spot is popular,Brasserie
132, Heverlee,50.85172925,4.693130751028099,Mama Wong,50.86359542669749,4.695958832376212,1335,This spot is popular,Chinese Restaurant
133, Heverlee,50.85172925,4.693130751028099,Halte Jachtlaan,50.85228431554118,4.695570227301322,182,This spot is popular,Bus Stop
134, Heverlee,50.85172925,4.693130751028099,Internaat Woudlucht,50.85405459083432,4.689636698881161,356,This spot is popular,Boarding House
135, Heverlee,50.85172925,4.693130751028099,Feestzaal De Jacht,50.84708157810086,4.695699159727186,547,This spot is popular,Event Space
136, Heverlee,50.85172925,4.693130751028099,Het Seinhuis,50.862704611635735,4.694850740960207,1227,This spot is popular,Belgian Restaurant
137, Heverlee,50.85172925,4.693130751028099,Arboretum Heverleebos,50.84553113241288,4.695096896800073,703,This spot is popular,Forest
138, Heverlee,50.85172925,4.693130751028099,Station Heverlee,50.86246242429028,4.696677030681926,1220,This spot is popular,Train Station
139, Heverlee,50.85172925,4.693130751028099,Halte Boskantlaan II,50.8550071935326,4.683142678082196,791,This spot is popular,Bus Stop
140, Heverlee,50.85172925,4.693130751028099,Schermclub Parcival,50.855445709709954,4.703098245361641,813,This spot is popular,Sports Club
141, Heverlee,50.85172925,4.693130751028099,DCLAHeverlee (Heverleebos),50.85294147442154,4.681658752434564,817,This spot is popular,Athletics & Sports
142, Heverlee,50.85172925,4.693130751028099,Sporthal Heverlee,50.856008970328595,4.704624097427555,937,This spot is popular,Athletics & Sports
143, Heverlee,50.85172925,4.693130751028099,Hotel The Lodge Heverlee,50.860758,4.685637,1134,This spot is popular,Hotel
144, Heverlee,50.85172925,4.693130751028099,Vishandel-Traiteur Vanzegbroeck,50.86178442252829,4.695879924175709,1135,This spot is popular,Fish Market
145, Heverlee,50.85172925,4.693130751028099,Halte Raalbeeklaan,50.8530365734411,4.676727551673515,1161,This spot is popular,Bus Stop
146, Heverlee,50.85172925,4.693130751028099,Halte De Hemptinne,50.852845745423984,4.710329297303619,1215,This spot is popular,Bus Stop
147, Kessel-Lo,50.88991545,4.7307614946269005,Provinciedomein Kessel-Lo,50.893817,4.723969,645,This spot is popular,State / Provincial Park
148, Kessel-Lo,50.88991545,4.7307614946269005,Bakkerij 'Het Brood' - Patisserie Michel,50.88553166275152,4.737441378431061,676,This spot is popular,Bakery
149, Kessel-Lo,50.88991545,4.7307614946269005,In den Rozenkrans,50.89209232138989,4.734248894201498,344,This spot is popular,Bar
150, Kessel-Lo,50.88991545,4.7307614946269005,Frituur Heuvelhof,50.884820202282235,4.731903968026138,572,This spot is popular,Friterie
151, Kessel-Lo,50.88991545,4.7307614946269005,Gitan - werelds café,50.88440123275858,4.726047819997358,697,This spot is popular,Bar
152, Kessel-Lo,50.88991545,4.7307614946269005,Park Heuvelhof,50.88660214154378,4.732983112335205,400,This spot is popular,Park
153, Kessel-Lo,50.88991545,4.7307614946269005,Mezzaluna,50.88375506010215,4.7200264196000985,1019,This spot is popular,Italian Restaurant
154, Kessel-Lo,50.88991545,4.7307614946269005,Café Rocco - Het Holebihuis,50.88404328323896,4.716888905076341,1173,This spot is popular,Gay Bar
155, Kessel-Lo,50.88991545,4.7307614946269005,Energym,50.88410533170166,4.721564132709167,914,This spot is popular,Gym
156, Kessel-Lo,50.88991545,4.7307614946269005,Think Twice,50.88223665030404,4.71324908296839,1497,This spot is popular,Thrift / Vintage Store
157, Kessel-Lo,50.88991545,4.7307614946269005,Park Inn by Radisson Leuven,50.88135297947832,4.717321693897247,1341,This spot is popular,Hotel
158, Kessel-Lo,50.88991545,4.7307614946269005,Starbucks,50.88156048667465,4.715728886385379,1406,This spot is popular,Coffee Shop
159, Kessel-Lo,50.88991545,4.7307614946269005,Delhaize,50.887791562547406,4.7404532107247865,720,This spot is popular,Supermarket
160, Kessel-Lo,50.88991545,4.7307614946269005,HAL 5,50.883000891690315,4.72234642990683,970,This spot is popular,Food Court
161, Kessel-Lo,50.88991545,4.7307614946269005,De Kastaar,50.894424044757194,4.7489985617361645,1375,This spot is popular,Bar
162, Kessel-Lo,50.88991545,4.7307614946269005,Pinky,50.88225241345857,4.714114117655528,1447,This spot is popular,Sandwich Place
163, Kessel-Lo,50.88991545,4.7307614946269005,Croccantino,50.88332367774267,4.747363957320972,1377,This spot is popular,Ice Cream Shop
164, Kessel-Lo,50.88991545,4.7307614946269005,AB InBev,50.8885869002524,4.710080596002592,1459,This spot is popular,Brewery
165, Kessel-Lo,50.88991545,4.7307614946269005,SOJO,50.88585728694835,4.717954797822553,1006,This spot is popular,Bar
166, Kessel-Lo,50.88991545,4.7307614946269005,Bangkok Take Away,50.887115029971845,4.722024770899815,688,This spot is popular,Thai Restaurant
167, Kessel-Lo,50.88991545,4.7307614946269005,Den Thuis,50.88610617397994,4.711153836541382,1440,This spot is popular,Bar
168, Kessel-Lo,50.88991545,4.7307614946269005,Bakkerij Vleugels,50.88459999172935,4.711160315102304,1498,This spot is popular,Bakery
169, Kessel-Lo,50.88991545,4.7307614946269005,OHL Bruineveld,50.89789677291757,4.7254341938855084,964,This spot is popular,Soccer Field
170, Kessel-Lo,50.88991545,4.7307614946269005,Il Pastaio,50.88528138621104,4.7183733892974375,1011,This spot is popular,Italian Restaurant
171, Kessel-Lo,50.88991545,4.7307614946269005,Optiek Mertens,50.88413589272332,4.716935136903496,1164,This spot is popular,Optical Shop
172, Kessel-Lo,50.88991545,4.7307614946269005,BloemBloem,50.884936588738825,4.718133151118509,1045,This spot is popular,Flower Shop
173, Kessel-Lo,50.88991545,4.7307614946269005,'t Kelderke,50.89261887476472,4.7357753031581264,463,This spot is popular,Bar
174, Kessel-Lo,50.88991545,4.7307614946269005,Martelarenplein,50.88136811629185,4.71458930123184,1481,This spot is popular,Plaza
175, Kessel-Lo,50.88991545,4.7307614946269005,De Klimop,50.88114331528313,4.71475241866664,1489,This spot is popular,French Restaurant
176, Kessel-Lo,50.88991545,4.7307614946269005,Bakkerij Paul Jaubin,50.87812237479511,4.734169359141099,1334,This spot is popular,Bakery
177, Kessel-Lo,50.88991545,4.7307614946269005,Brasserie Van De Weyer,50.88134093804422,4.714305366846325,1498,This spot is popular,Brasserie
178, Kessel-Lo,50.88991545,4.7307614946269005,Mister Bean,50.884224152235554,4.717032117851276,1153,This spot is popular,Coffee Shop
179, Kessel-Lo,50.88991545,4.7307614946269005,Café PaRaDoX,50.88390646993529,4.720348891466103,991,This spot is popular,Bar
180, Kessel-Lo,50.88991545,4.7307614946269005,Dilan,50.88373453465443,4.719747850962199,1035,This spot is popular,Middle Eastern Restaurant
181, Kessel-Lo,50.88991545,4.7307614946269005,Oud Leuven,50.882051425461995,4.714389272650941,1445,This spot is popular,Brasserie
182, Kessel-Lo,50.88991545,4.7307614946269005,Café In Den Ouden Tijd,50.881764686568104,4.714513956648781,1457,This spot is popular,Bar
183, Kessel-Lo,50.88991545,4.7307614946269005,Bakkerij Bultynck,50.88216313961188,4.7144460747849095,1434,This spot is popular,Bakery
184, Kessel-Lo,50.88991545,4.7307614946269005,Novotel Leuven Centrum,50.88591345446074,4.710784937371251,1471,This spot is popular,Hotel
185, Kessel-Lo,50.88991545,4.7307614946269005,Leuven Railway Station (Station Leuven) (Station Leuven),50.88180549239117,4.715296987735427,1412,This spot is popular,Train Station
186, Kessel-Lo,50.88991545,4.7307614946269005,Café Sport,50.88143899332155,4.714138714032974,1501,This spot is popular,Sports Bar
187, Kessel-Lo,50.88991545,4.7307614946269005,Sportcomplex Kessel-Lo,50.88282218100858,4.734601174316863,834,This spot is popular,Athletics & Sports
188, Kessel-Lo,50.88991545,4.7307614946269005,De Friethoek,50.89861187523108,4.7329948273903115,980,This spot is popular,Friterie
189, Kessel-Lo,50.88991545,4.7307614946269005,Brasserie De Curve,50.88560007983172,4.718555174459305,982,This spot is popular,Bar
190, Kessel-Lo,50.88991545,4.7307614946269005,Frituur Blauwput,50.88404387876677,4.722792930583446,860,This spot is popular,Friterie
191, Kessel-Lo,50.88991545,4.7307614946269005,Kebap Merdin,50.884066913499595,4.723012732397792,848,This spot is popular,Kebab Restaurant
192, Kessel-Lo,50.88991545,4.7307614946269005,Patisserie Nathalie,50.88732300922676,4.722374891282522,655,This spot is popular,Bakery
193, Kessel-Lo,50.88991545,4.7307614946269005,Pizza Hut Delivery,50.88578806942502,4.719105586715846,938,This spot is popular,Pizza Place
194, Kessel-Lo,50.88991545,4.7307614946269005,The Coffee Club,50.88184245077468,4.714776578169595,1437,This spot is popular,Coffee Shop
195, Kessel-Lo,50.88991545,4.7307614946269005,Jeugdherberg De Blauwput,50.88273500509371,4.717561985965253,1223,This spot is popular,Hostel
196, Kessel-Lo,50.88991545,4.7307614946269005,Frituur Giraffe,50.878881925061755,4.729507200011276,1231,This spot is popular,Friterie
197, Kessel-Lo,50.88991545,4.7307614946269005,Eurospar,50.8998335957948,4.725862555125713,1156,This spot is popular,Supermarket
198, Kessel-Lo,50.88991545,4.7307614946269005,Foodsquare,50.88586291492437,4.710739348256874,1476,This spot is popular,Belgian Restaurant
199, Kessel-Lo,50.88991545,4.7307614946269005,Stedelijk Zwembad,50.8827454814107,4.734639835276463,843,This spot is popular,Pool
200, Kessel-Lo,50.88991545,4.7307614946269005,Domino's Pizza,50.88231338404019,4.713871757997954,1457,This spot is popular,Pizza Place
201, Kessel-Lo,50.88991545,4.7307614946269005,Tom & Co,50.887612011541655,4.740655255045952,740,This spot is popular,Pet Store
202, Kessel-Lo,50.88991545,4.7307614946269005,Cafetaria Zwembad,50.88254957640406,4.734068045401292,852,This spot is popular,Café
203, Kessel-Lo,50.88991545,4.7307614946269005,Panos,50.88194309801469,4.716001534680875,1364,This spot is popular,Sandwich Place
204, Kessel-Lo,50.88991545,4.7307614946269005,Café Tempo,50.88505617033265,4.719928651124246,933,This spot is popular,Bar
205, Kessel-Lo,50.88991545,4.7307614946269005,Brouwzaal,50.88894577107507,4.709494552482129,1497,This spot is popular,Brewery
206, Kessel-Lo,50.88991545,4.7307614946269005,Baron August de Becker Remyplein,50.88528906040284,4.718992710113525,973,This spot is popular,Plaza
207, Kessel-Lo,50.88991545,4.7307614946269005,Hotel Ibis Budget Leuven Centrum,50.88253256388739,4.717018208464449,1267,This spot is popular,Hotel
208, Kessel-Lo,50.88991545,4.7307614946269005,Markt,50.8858704858507,4.719431024213263,914,This spot is popular,Market
209, Kessel-Lo,50.88991545,4.7307614946269005,Smullende Heks,50.88224127554119,4.713568977103187,1479,This spot is popular,Friterie
210, Kessel-Lo,50.88991545,4.7307614946269005,Döner Company,50.881861057004286,4.715947315211544,1373,This spot is popular,Doner Restaurant
211, Kessel-Lo,50.88991545,4.7307614946269005,KVC Kessel-Lo,50.8836510165319,4.734193888826677,737,This spot is popular,Sports Club
212, Kessel-Lo,50.88991545,4.7307614946269005,Halte Wilselsesteenweg,50.89740382863731,4.731743363333539,836,This spot is popular,Bus Stop
213, Kessel-Lo,50.88991545,4.7307614946269005,Sporthal Blauwput,50.89097753537936,4.742917967778886,861,This spot is popular,Athletics & Sports
214, Kessel-Lo,50.88991545,4.7307614946269005,Stelplaats De Lijn,50.88497935501056,4.743397112132536,1043,This spot is popular,Bus Station
215, Kessel-Lo,50.88991545,4.7307614946269005,Don Quichotte,50.899313680317455,4.727688127572664,1068,This spot is popular,Sandwich Place
